surface,total_mentions_train,top_qid,top_count,purity,distinct_nonnull_qids,entropy
"президент",240,"Q30461",226,0.9416666666666667,5,0.3000372062274579
"президента страны",7,"Q6296418",2,0.2857142857142857,5,1.5498260458732018
"премьер министра",40,"Q14212",35,0.875,4,0.4955539786565911
"российского",39,"Q159",34,0.8717948717948718,4,0.5047899870755486
"европы",23,"Q46",17,0.7391304347826086,4,0.8378090821825456
"мид",19,"Q20901295",14,0.7368421052631579,4,0.8539446982754193
"российский",36,"Q159",20,0.5555555555555556,4,1.0139046609305655
"сенат",17,"Q66096",7,0.4117647058823529,4,1.2324052234617893
"доктор",6,"Q34358",3,0.5,4,1.24245332489
"челси",6,"Q9616",3,0.5,4,1.24245332489
"королевы",8,"Q16511993",3,0.375,4,1.3208883431453222
"русские",4,"Q159",1,0.25,4,1.3862943611158907
"юлия",11,"Q238685",3,0.2727272727272727,4,1.499030672974008
"россии",362,"Q159",360,0.994475138121547,3,0.038060092148583094
"сша",349,"Q30",344,0.9856733524355301,3,0.08221831881567761
"правительство",77,"Q7188",75,0.974025974025974,3,0.13845985671791397
"президента",217,"Q30461",209,0.9631336405529954,3,0.1785853266382258
"президентом",68,"Q30461",65,0.9558823529411765,3,0.2292845795365712
"москве",96,"Q649",91,0.9479166666666666,3,0.23066701919907673
"мвд",40,"Q6589202",37,0.925,3,0.3141230258870314
"российских",35,"Q159",32,0.9142857142857143,3,0.3470668257518097
"российские",22,"Q159",20,0.9090909090909091,3,0.36764947739714227
"главы государства",21,"Q48352",19,0.9047619047619048,3,0.3805062184745959
"ук",39,"Q19705",35,0.8974358974358975,3,0.40177264934794743
"премьера",25,"Q14212",21,0.84,3,0.5296435025373523
"британский",11,"Q842438",9,0.8181818181818182,3,0.6001660731566456
"американских",22,"Q30",17,0.7727272727272727,3,0.6496877127446233
"минобороны",9,"Q1146492",7,0.7777777777777778,3,0.6837389058457535
"кабинета министров",9,"Q640506",7,0.7777777777777778,3,0.6837389058457535
"король",27,"Q12097",21,0.7777777777777778,3,0.6837389058457535
"русской",12,"Q49542",9,0.75,3,0.7214636866895116
"королева",8,"Q16511993",6,0.75,3,0.7356219397557947
"new york",8,"Q60",6,0.75,3,0.7356219397557947
"президенте",8,"Q30461",6,0.75,3,0.7356219397557947
